,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
tree15-4x4,14,-1,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840,0,0,0,99.95999199839967,120840
dag39-7x7,44,-1,2,1,0,99.88,386904,0,0,0,99.8999799959992,386904,1,1,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904
tree20-5x5,19,-1,1,1,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500
tree47-7x7-MC=1,47,-1,7,6,0,49.979983987189755,386904,0,0,0,66.63553895410885,386904,5,4,0,49.979983987189755,386904,0,0,0,66.63553895410885,386904,2,2,0,99.93998799759952,386904,0,0,0,66.63553895410885,386904,2,2,0,99.93998799759952,386904,0,0,0,66.63553895410885,386904
tree30-6x6-MC=1,30,-1,4,4,0,99.91998399679936,282240,0,0,0,66.63998932906496,282240,1,1,0,99.93998799759952,282240,0,0,0,66.63998932906496,282240,1,1,0,99.93998799759952,282240,0,0,0,66.63998932906496,282240,1,1,0,99.93998799759952,282240,0,0,0,66.63998932906496,282240
FilterRGB,97,-1,19,11,0,74.86687167179178,801900,3,2,0,93.95707831325302,801900,13,11,0,71.31018716959565,801900,0,0,0,99.82,801900,11,10,0,84.03233956543708,801900,0,0,0,99.82,801900,9,6,0,84.03941716499621,801900,0,0,0,99.82,801900
dag34-6x6,38,-1,7,6,0,99.92999299929993,282240,2,2,0,99.92999299929993,282240,5,4,0,66.63998932906496,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240
tree16-4x4-MC=1,16,-1,1,1,0,99.95999199839967,120840,0,0,0,66.65777540677514,120840,1,1,0,99.95999199839967,120840,0,0,0,66.65777540677514,120840,1,1,0,99.95999199839967,120840,0,0,0,66.65777540677514,120840,1,1,0,99.95999199839967,120840,0,0,0,66.65777540677514,120840
tree33-6x6,32,-1,3,3,0,99.8999799959992,282240,0,0,0,99.91998399679936,282240,1,1,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240
dag38-7x7-MC=1,42,-1,6,6,0,99.92999299929993,386904,0,0,0,66.648882960987,386904,2,2,0,99.92999299929993,386904,0,0,0,66.648882960987,386904,1,1,0,99.93998799759952,386904,0,0,0,66.648882960987,386904,1,1,0,99.93998799759952,386904,0,0,0,66.648882960987,386904
tree18-5x5,17,-1,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500,0,0,0,99.95999199839967,193500
tree40-7x7,39,-1,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904,0,0,0,99.8999799959992,386904
tree50-8x8,49,-1,4,4,0,99.87997599519905,508032,0,0,0,99.8999799959992,508032,2,2,0,99.8999799959992,508032,0,0,0,99.8999799959992,508032,1,1,0,99.8999799959992,508032,0,0,0,99.8999799959992,508032,0,0,0,99.8999799959992,508032,0,0,0,99.8999799959992,508032
dag30-6x6,32,-1,2,2,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,1,1,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240,0,0,0,99.91998399679936,282240
dag59-8x8-MC=1,69,-1,19,12,0,49.994998499549865,508032,4,4,0,66.65777540677514,508032,8,7,0,49.994998499549865,508032,1,1,0,66.65777540677514,508032,8,7,0,49.994998499549865,508032,0,0,0,66.65777540677514,508032,4,4,0,50.00500150045013,508032,0,0,0,66.65777540677514,508032
dag27-6x6,28,-1,1,1,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240,0,0,0,99.8999799959992,282240
dag38-7x7,41,-1,5,5,0,99.92999299929993,386904,0,0,0,99.93998799759952,386904,3,3,0,74.96436341811089,386904,0,0,0,99.93998799759952,386904,0,0,0,99.93998799759952,386904,0,0,0,99.93998799759952,386904,0,0,0,99.93998799759952,386904,0,0,0,99.93998799759952,386904
fir1,43,-1,9,9,0,99.86013986013987,386904,0,0,0,99.91004497751125,386904,5,5,0,99.89007694613771,386904,0,0,0,99.91004497751125,386904,3,3,0,99.9000599640216,386904,0,0,0,99.91004497751125,386904,3,3,0,99.9000599640216,386904,0,0,0,99.91004497751125,386904
tree25-5x5-MC=1,25,-1,2,2,0,49.984992496248125,193500,0,0,0,66.63998932906496,193500,2,2,0,49.984992496248125,193500,0,0,0,66.63998932906496,193500,1,1,0,49.984992496248125,193500,0,0,0,66.63998932906496,193500,1,1,0,49.984992496248125,193500,0,0,0,66.63998932906496,193500
tree47-7x7,46,-1,9,7,0,99.91998399679936,386904,1,1,0,99.91998399679936,386904,2,2,0,99.91998399679936,386904,0,0,0,99.93998799759952,386904,2,2,0,99.91998399679936,386904,0,0,0,99.93998799759952,386904,1,1,0,99.93998799759952,386904,0,0,0,99.93998799759952,386904
