,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
k4n4op,74,-1,43,31,0,66.61779406864379,508032,11,10,0,66.6311087405827,508032,36,22,0,66.61335465813674,508032,9,9,0,79.9552071668533,508032,36,22,0,66.61335465813674,508032,6,6,0,79.96160307175427,508032,35,24,0,66.61779406864379,508032,5,4,0,79.96160307175427,508032
dag41-7x7-MC=1,46,-1,7,5,0,66.64443851693785,386904,1,1,0,99.91998399679936,386904,4,4,0,99.91998399679936,386904,0,0,0,66.63998932906496,386904,1,1,0,99.91998399679936,386904,0,0,0,66.63998932906496,386904,1,1,0,99.91998399679936,386904,0,0,0,66.63998932906496,386904
dag32-6x6-MC=1,36,-1,7,5,0,79.94558258642766,282240,0,0,0,99.94999499949995,282240,1,1,0,66.64888651820242,282240,0,0,0,99.94999499949995,282240,1,1,0,66.64888651820242,282240,0,0,0,99.94999499949995,282240,1,1,0,66.64888651820242,282240,0,0,0,99.94999499949995,282240
Fir16,91,-1,24,20,0,74.83861282089777,644760,5,4,0,74.87618190004503,644760,24,20,0,74.83861282089777,644760,3,3,0,85.55746140651802,644760,16,13,0,74.84238967277093,644760,1,1,0,93.93711165505555,644760,16,13,0,74.84238967277093,644760,1,1,0,93.93711165505555,644760
mac,11,-1,0,0,0,99.94999499949995,120840,12,7,0,92.22673559822748,120840,0,0,0,99.94999499949995,120840,0,0,0,99.94999499949995,120840,0,0,0,99.94999499949995,120840,0,0,0,99.94999499949995,120840,0,0,0,99.94999499949995,120840,0,0,0,99.94999499949995,120840
tree27-6x6-MC=1,27,-1,2,2,0,99.95999199839967,282240,0,0,0,66.648882960987,282240,1,1,0,49.98999599839936,282240,0,0,0,66.648882960987,282240,1,1,0,49.98999599839936,282240,0,0,0,66.648882960987,282240,1,1,0,49.98999599839936,282240,0,0,0,66.648882960987,282240
dag14-4x4,15,-1,2,1,0,66.65777540677514,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840,0,0,0,99.97999599919984,120840
dag43-7x7-MC=1,50,-1,9,7,0,99.9099909990999,386904,0,0,0,66.6310873915944,386904,4,4,0,99.9099909990999,386904,0,0,0,66.6310873915944,386904,1,1,0,99.91998399679936,386904,0,0,0,66.6310873915944,386904,1,1,0,99.91998399679936,386904,0,0,0,66.6310873915944,386904
cosine2,93,-1,32,23,0,66.6044776119403,801900,5,5,0,79.94881228505159,801900,27,20,0,57.106946983546614,801900,3,3,0,79.94881228505159,801900,27,20,0,57.106946983546614,801900,1,1,0,92.24806201550388,801900,25,18,0,66.6044776119403,801900,0,0,0,99.93002099370189,801900
tree30-6x6,29,-1,4,3,0,99.8999799959992,282240,0,0,0,99.93998799759952,282240,1,1,0,99.91998399679936,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240,0,0,0,99.93998799759952,282240
