,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y,Dist Total_x,Edges > 0_x,Num Annotations_x,Dist Total_y,Edges > 0_y,Num Annotations_y
tree40-7x7-MC=1,40,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag41-7x7,45,-1,6,5,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dag15-4x4,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBT-h2-MC=1,7,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree18-5x5-MC=1,18,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree33-6x6-MC=1,33,-1,4,4,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
BBT-h3-MC=1,15,-1,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
tree35-6x6-MC=1,35,-1,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
BBT-h2,6,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag27-6x6-MC=1,29,-1,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree27-6x6,26,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBT-h5-MC=1,63,-1,16,13,0,1,1,0,13,9,0,0,0,0,11,11,0,0,0,0,10,10,0,0,0,0
mults1,27,-1,4,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,2,1,0,0,0,0
jpeg_idct_ifast,346,-1,294,128,0,111,74,0,265,113,0,105,69,0,263,110,0,79,54,0,241,117,0,71,52,0
BBT-h4-MC=1,31,-1,3,3,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
idctcol,348,-1,305,113,0,112,75,0,264,116,0,90,62,0,258,121,0,77,57,0,223,104,0,69,57,0
matmul,124,-1,56,38,0,11,10,0,52,26,0,10,9,0,50,28,0,9,5,0,44,26,0,6,6,0
tree16-4x4,15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag15-4x4-MC=1,18,-1,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag20-5x5-MC=1,21,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
dag18-5x5,20,-1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree44-7x7-MC=1,44,-1,3,3,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
tree42-7x7,41,-1,4,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dag22-5x5,24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree15-4x4,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag39-7x7,44,-1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree20-5x5,19,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree47-7x7-MC=1,47,-1,7,6,0,0,0,0,5,4,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0
tree30-6x6-MC=1,30,-1,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
FilterRGB,97,-1,19,11,0,3,2,0,13,11,0,0,0,0,11,10,0,0,0,0,9,6,0,0,0,0
dag34-6x6,38,-1,7,6,0,2,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree16-4x4-MC=1,16,-1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree33-6x6,32,-1,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag38-7x7-MC=1,42,-1,6,6,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree18-5x5,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree40-7x7,39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree50-8x8,49,-1,4,4,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dag30-6x6,32,-1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag59-8x8-MC=1,69,-1,19,12,0,4,4,0,8,7,0,1,1,0,8,7,0,0,0,0,4,4,0,0,0,0
dag27-6x6,28,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dag38-7x7,41,-1,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fir1,43,-1,9,9,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0
tree25-5x5-MC=1,25,-1,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
tree47-7x7,46,-1,9,7,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0
